,location,city,country,unit,latitude,longitude,co,no2,o3,pm10,pm25,so2
134,"Shadipur, Delhi - CPCB",Delhi,IN,µg/m³,28.651478100000002,77.1473105,1021.6666666666666,74.60916666666667,7.455833333333332,,39.99583333333333,10.816666666666668
135,"Shastri Nagar, Jaipur - RSPCB",Jaipur,IN,µg/m³,26.9502929,75.73094300000001,315.8333333333333,12.902500000000002,9.184166666666668,71.105,38.34083333333333,15.238333333333335
136,"Shrinath Puram, Kota - RSPCB",Kota,IN,µg/m³,25.14389,75.821256,437.5,1.6458333333333333,11.097500000000002,30.79166666666667,13.25,10.811666666666667
137,"Shrivastav Colony, Damoh - MPPCB",Damoh,IN,µg/m³,23.81748678,79.446246,85.0,0.0,,28.833333333333332,10.0,
138,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,IN,µg/m³,23.540435199999997,87.2892225,,,,67.22500000000001,,15.946666666666665
139,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,12.917347999999999,77.622813,563.75,48.333333333333336,27.258,42.0,14.0,1.525
140,"Sion, Mumbai - MPCB",Mumbai,IN,µg/m³,19.047,72.8746,174.44444444444446,21.530833333333334,2.6500000000000004,35.54090909090909,10.72166666666667,21.990000000000002
141,"Sirifort, Delhi - CPCB",Delhi,IN,µg/m³,28.5504249,77.2159377,529.1666666666666,49.38916666666668,19.916666666666664,87.83333333333333,37.666666666666664,6.95
142,"Sonia Vihar, Delhi - DPCC",Delhi,IN,µg/m³,28.710508,77.24948499999999,1.416666666666667,14.208333333333334,16.099999999999998,93.33333333333333,45.416666666666664,8.9
143,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,IN,µg/m³,28.531346000000003,77.190156,709.0909090909091,9.95,17.216666666666665,58.0,38.333333333333336,2.0124999999999997
144,"Talcher Coalfields,Talcher - OSPCB",Talcher,IN,µg/m³,20.9360711,85.1707021,949.1666666666666,8.583333333333334,0.7525000000000001,80.9275,25.414166666666663,8.245833333333332
145,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,µg/m³,26.83399722,80.89173609999999,936.6666666666666,27.905833333333334,,,41.14166666666667,5.37
146,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,IN,µg/m³,23.707909,86.41467,0.0,9.229166666666668,3.0733333333333337,17.650000000000006,15.0,3.6225
147,"Tirumala, Tirupati - APPCB",Tirupati,IN,µg/m³,13.67,79.35,186.66666666666666,15.15,59.15,6.666666666666667,7.333333333333333,2.1249999999999996
148,US Diplomatic Post: Chennai,Chennai,IN,µg/m³,13.08784,80.27847,,,,,12.0,
149,US Diplomatic Post: Hyderabad,Hyderabad,IN,µg/m³,17.38405,78.45636,,,,,13.333333333333334,
150,US Diplomatic Post: Kolkata,Kolkata,IN,µg/m³,22.56263,88.36304,,,,,16.666666666666668,
151,US Diplomatic Post: Mumbai,Mumbai,IN,µg/m³,19.07283,72.88261,,,,,6.0,
152,US Diplomatic Post: New Delhi,Delhi,IN,µg/m³,28.635759999999998,77.22445,,,,,43.666666666666664,
153,"Udyogamandal, Eloor - Kerala PCB",Eloor,IN,µg/m³,10.073232,76.30276500000001,584.1666666666666,5.081666666666668,7.926666666666667,35.06416666666667,6.484166666666667,5.931666666666666
154,"Urban Estate-II, Hisar - HSPCB",Hisar,IN,µg/m³,29.140559999999997,75.744941,575.8333333333334,11.596666666666664,32.3175,106.76666666666665,79.23083333333334,47.313333333333325
