,Review Text,Review Date,Star Ratings,Review Website,Brand Name
18,"Well, a featured car with full specifications and well likable also, I love to ride this car every time and the main part is that it is suitable for every type of person. Read More","On: Dec 14, 2019 | 14 Views",,www.cardekho.com,Kia Seltos
19,"This car is a very good choice at this price, body, look, maintenance and service, everything is maintained by Kia India.","On: Dec 14, 2019 | 16 Views",,www.cardekho.com,Kia Seltos
20,The great car really with great interiors and full of new functionality which we haven't seen in any other car in India. Very much spacious and looks amazing.,"On: Dec 14, 2019 | 57 Views",,www.cardekho.com,Kia Seltos
21,"The Kia Seltos is one of the most eagerly anticipated launches for the year 2019. But before Kia Motors announces the price of the Seltos, we were invited to take the compact SUV for a spin around the streets of Goa. Read More","On: Dec 14, 2019 | 21 Views",,www.cardekho.com,Kia Seltos
22,The excellent new designs and the world's most beautiful car has already buzzed the market. ,"On: Dec 14, 2019 | 24 Views",,www.cardekho.com,Kia Seltos
23,Very nice car and very comfortable seats with powerful brakes. The interiors and its seating arrangement are also amazing. Available at affordable prices.,"On: Dec 14, 2019 | 235 Views",for HTE G,www.cardekho.com,Kia Seltos
24,A very comfortable and smooth vehicle. The gear-box is very smooth.,"On: Dec 14, 2019 | 96 Views",,www.cardekho.com,Kia Seltos
25,Amazing car with ultimate colors.,"On: Dec 14, 2019 | 41 Views",,www.cardekho.com,Kia Seltos
26,"The Kia Seltos is good in every possible way, but there is a huge downside to the Seltos in case of pricing, where the vehicle is manufactured in Andhrapradesh the prices must be a bit low as all the other rival are priced very less in spite of manufacturing out of India. There is one thing Kia should implement which is it should provide the essent...Read More","On: Dec 14, 2019 | 20 Views",,www.cardekho.com,Kia Seltos
27,"Kia entered the Indian market with the SELTOS the one which shook the Hyundai CRETA and takes the first position in the compact SUV segment. It is offered with a 10.25-inch touchscreen display, KIA's UVO connects, air purifier, sunroof, and HUD(Heads Up Display). The car has three engine options all of them available either in manual or automatic t...Read More","On: Dec 14, 2019 | 103 Views",,www.cardekho.com,Kia Seltos
28,"Good experience while seating on driver seat. It is like, this is the car I was waiting for. It has a 4-star quality, being a middle-class 1 star less for price.","On: Dec 14, 2019 | 1092 Views",,www.cardekho.com,Kia Seltos
29,Best of 2019 just because it has extra features and good looking interior and exterior design.,"On: Dec 14, 2019 | 67 Views",,www.cardekho.com,Kia Seltos
